id,name,category,type,price,hasAffiliate,tags,shortDesc
chatgpt,ChatGPT,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | محادثة | كتابة | برمجة,المساعد الذكي الأشهر عالمياً للمحادثة والإنتاجية.
midjourney,Midjourney,تصميم وجرافيك,tool,يبدأ من 10$ / شهر,false,توليد صور | فن رقمي | تصميم,توليد صور فنية مذهلة بأوامر نصية بسيطة.
gemini,Google Gemini,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | محادثة | بحث | جوجل,مساعد جوجل الذكي المتصل بخدمات جوجل كاملة.
jasper,Jasper,كتابة وتسويق,tool,يبدأ من 39$ / شهر,true,كتابة | تسويق | إعلانات | SEO,مساعد كتابة قوي للمسوقين وصناع المحتوى.
framer,Framer,برمجة ومواقع,tool,خطة مجانية، والمدفوع يبدأ 15$,true,مواقع | تصميم | لا-كود | مجاني,تصميم وتطوير مواقع احترافية بسرعة مذهلة.
synthesia,Synthesia,صوت وفيديو,tool,يبدأ من 22$ / شهر,true,فيديو | أفاتار | تعليم | عروض,توليد مقاطع فيديو بشخصيات افتراضية واقعية.
notion,Notion,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 8$,true,مجاني | إدارة مشاريع | ملاحظات | تعاون,مساحة عمل متكاملة مع مساعد ذكي للمهام.
canva,Canva,تصميم وجرافيك,tool,خطة مجانية، والمدفوع 12$,true,مجاني | تصميم | قوالب | سوشيال ميديا,تصميم الجرافيك المدعوم بأدوات توليد الصور.
descript,Descript,صوت وفيديو,tool,خطة مجانية، والمدفوع يبدأ 14$,true,مجاني | مونتاج | بودكاست | يوتيوب,تحرير الصوت والفيديو كأنك تعدل مستند نصي.
surferseo,SurferSEO,كتابة وتسويق,tool,يبدأ من 89$ / شهر,true,SEO | كتابة | تحليل | مقالات,تحسين محركات البحث وكتابة المحتوى المتصدر.
copyai,Copy.ai,كتابة وتسويق,tool,خطة مجانية، والمدفوع 49$,true,مجاني | إعلانات | محتوى | سوشيال,خيارات غير محدودة لكتابة الإعلانات والمنشورات.
writesonic,Writesonic,كتابة وتسويق,tool,خطة مجانية، والمدفوع 19$,true,مجاني | مقالات | SEO | شات بوت,تأليف المقالات الطويلة بدقة وسرعة عالية.
murfai,Murf.ai,صوت وفيديو,tool,خطة مجانية، والمدفوع 29$,true,مجاني | تعليق صوتي | لغات متعددة,تحويل النصوص إلى أصوات بشرية طبيعية باحترافية.
clickup,ClickUp,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 7$,true,مجاني | إدارة مشاريع | تعاون | أتمتة,تطبيق شامل لإدارة سير العمل بذكاء اصطناعي مدمج.
looka,Looka,تصميم وجرافيك,tool,الدفع لكل شعار، أو اشتراك سنوي,true,شعارات | هوية بصرية | بطاقات عمل,توليد شعارات وتصاميم الهوية التجارية فوراً.
beehiiv,Beehiiv,كتابة وتسويق,tool,خطة مجانية، والمدفوع 39$,true,مجاني | نشرات بريدية | نمو | محتوى,منصة النشرات البريدية الحديثة والنمو السريع.
chatbase,Chatbase,دعم العملاء,tool,خطة مجانية، والمدفوع 19$,true,مجاني | شات بوت | خدمة عملاء | GPT,إنشاء بوت محادثة ذكي مخصص لموقعك ببياناتك.
elevenlabs,ElevenLabs,صوت وفيديو,tool,خطة مجانية، والمدفوع 5$,true,مجاني | استنساخ صوت | عربي | كتب صوتية,توليد الأصوات والاستنساخ الأقرب للواقع.
miro,Miro,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 8$,true,مجاني | عصف ذهني | تعاون | خرائط ذهنية,لوحتك التعاونية الذكية للعصف الذهني والتنظيم.
pictory,Pictory,صوت وفيديو,tool,خطة مجانية، والمدفوع 23$,true,مجاني | فيديو قصير | تيك توك | يوتيوب,تحويل المقالات إلى مقاطع فيديو تفاعلية للنشر.
leonardoai,Leonardo.ai,تصميم وجرافيك,tool,خطة مجانية، والمدفوع 12$,true,مجاني | توليد صور | فن رقمي | واقعي,توليد الصور الفنية والتصاميم بجودة تنافس الجميع.
grammarly,Grammarly,كتابة وتسويق,tool,خطة مجانية، والمدفوع 12$,true,مجاني | تصحيح | إنجليزي | إضافة متصفح,مصحح النصوص والمساعد الاحترافي بالذكاء التوليدي.
tome,Tome,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 16$,true,مجاني | عروض | سرد قصصي | تسويق,بناء العروض التقديمية التفاعلية والسرد القصصي آلياً.
invideo,InVideo AI,صوت وفيديو,website,خطة مجانية، والمدفوع يبدأ 20$,true,فيديو | محتوى | تسويق | مونتاج,صناعة فيديو كامل من مجرد مطالبة نصية.
heygen,HeyGen,صوت وفيديو,website,يبدأ من 29$ / شهر,true,أفاتار | فيديو | ترجمة | تسويق,مونتاج وترجمة الفيديوهات بوجوه وأصوات اصطناعية.
runwayml,Runway ML,صوت وفيديو,website,خطة مجانية، والمدفوع 15$,false,مجاني | فيديو | مونتاج | سينما,محرر فيديو ذكاء اصطناعي بخيارات سينمائية.
fliki,Fliki,صوت وفيديو,website,خطة مجانية، والمدفوع 28$,true,مجاني | فيديو | يوتيوب | صوت,تحويل النص إلى فيديوهات مع تعليق صوتي واقعي.
basedlabs,BasedLabs AI,صوت وفيديو,website,خطة مجانية، والمدفوع 15$,true,مجاني | توليد صور | فيديو خيالي,منصة لتوليد صور وفيديوهات إبداعية وخيالية.
lovo,Lovo AI,صوت وفيديو,tool,يبدأ من 29$ / شهر,true,صوت | برودكاست | إعلانات | أصوات طبيعية,منصة توليد صوتيات بلمسة احترافية.
podcastle,Podcastle,صوت وفيديو,website,خطة مجانية، والمدفوع 14$,true,مجاني | بودكاست | تسجيل | مونتاج صوت,أستوديو بودكاست متكامل بالذكاء الاصطناعي.
rytr,Rytr,كتابة وتسويق,website,خطة مجانية، والمدفوع 9$,true,مجاني | كتابة | نصوص متجر | مقالات قصيرة,أداة كتابة تناسب المبتدئين باشتراك اقتصادي.
koala,Koala AI,كتابة وتسويق,website,يبدأ من 9$ / شهر,true,SEO | كتابة مقالات | مدونات,كتابة مقالات جاهزة وعالية الجودة متوافقة مع SEO.
frase,Frase,كتابة وتسويق,website,يبدأ من 15$ / شهر,true,SEO | بحث الكلمات | استراتيجية,كتابة وتحليل محتوى متوافق مع SEO بدقة عالية.
scalenut,Scalenut,كتابة وتسويق,website,يبدأ من 39$ / شهر,true,SEO | تخطيط المحتوى | تسويق,أداة بحث وكتابة لتصدر نتائج محركات البحث.
semrush,Semrush,كتابة وتسويق,website,يبدأ من 130$ / شهر,true,SEO | تحليل منافسين | بناء الروابط | تسويق,المارد الشامل والأكثر موثوقية لمسوقي الإنترنت.
nightcafe,NightCafe,تصميم وجرافيك,website,خطة مجانية عبر نظام النقاط، المدفوع يبدأ 5$,true,مجاني | فن | توليد صور | مجتمع الرقمي,ستوديو فنون ومجتمعات التصميم بالذكاء الاصطناعي.
adcreative,AdCreative,تصميم وجرافيك,website,يبدأ من 21$ / شهر,true,إعلانات | سوشيال ميديا | تسويق | صور,تصميم بانرات إعلانية تحول النقرات إلى مبيعات.
kittl,Kittl,تصميم وجرافيك,website,خطة مجانية، والمدفوع 15$,true,مجاني | شعارات | طباعة | تصميم 벡터,تصميم شعارات وتصاميم للطباعة بضغطة زر.
taskade,Taskade,إنتاجية وأعمال,app,خطة مجانية، والمدفوع 4$,true,مجاني | إدارة مشاريع | تخطيط | تنظيم,مساحة عمل تعاونية تدار بوكلاء الذكاء الاصطناعي.
repurposeio,Repurpose.io,إنتاجية وأعمال,website,يبدأ من 15$ / شهر,true,أتمتة | فيديو | تيك توك | يوتيوب,إعادة نشر الفيديوهات لحساباتك الاجتماعية آلياً.
claude,Claude,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | برمجة | تحليل | نصوص معقدة,المنافس العملاق الشرس، رائع للبرمجة وكتابة النصوص.
perplexity,Perplexity AI,مساعدات ذكية,website,خطة مجانية، والمدفوع 20$,true,مجاني | بحث | أكاديمي | حقائق,محرك بحث بحثي متطور موثق بمصادر الإجابات.
otter,Otter.ai,مساعدات ذكية,app,خطة مجانية، والمدفوع 10$,true,مجاني | تفريغ صوتي | اجتماعات | إنتاجية,تفريغ الاجتماعات وتلخيصها وتحديد مهام العمل منها تلقائيا.
